GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,2.59515333,3.54605722,1,,Collision,2,,0.9509039,,0.7800306,2.48060966,0.151134655,6.80704451,161.924988,0,0,0,-0.453268558,0.466846853,0.141531333,21.01991,96.84091,0,0,0,TRUE,1.068575,FALSE,0.95,0.7800306,2.48060966,0.151134655,6.80704451,161.924988,0,0,0,-0.453268558,0.466846853,0.141531333,21.01991,96.84091,0,0,0
1,1,20250925_111545,1,1,20250925_111545,3.58274317,3.58274317,1,,Action,0,TurnRight,0.1,,0.7797679,2.48611569,0.1335426,5.8961916,162.169617,0,0,0,-0.4564112,0.462751836,0.125057086,18.2072277,97.59631,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.59515333,3.64553285,0,,Collision,2,,1.05037951,,-0.460452825,0.4574854,0.103870429,14.6778784,98.54422,0,0,0,0.77943,2.49319649,0.110918343,4.8972826,150.169617,0,0,0,FALSE,2.93142486,FALSE,1.05,-0.460452825,0.4574854,0.103870429,14.6778784,98.54422,0,0,0,0.77943,2.49319649,0.110918343,4.8972826,150.169617,0,0,0
1,1,20250925_111545,1,1,20250925_111545,3.683019,3.683019,0,,Action,0,TurnRight,0.15,,-0.462759227,0.454480052,0.09177992,12.7138262,99.07172,0,0,0,0.7792371,2.49723721,0.09800745,4.327239,142.169678,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.683019,3.683019,0,,Action,0,Accelerate,0.1,,-0.462759227,0.454480052,0.09177992,12.7138262,99.07172,0,0,0,0.7792371,2.49723721,0.09800745,4.327239,142.169678,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.683019,3.683019,1,,Action,0,TurnLeft,0.1,,0.7792371,2.49723721,0.09800745,4.327239,142.169678,0,0,0,-0.462759227,0.454480052,0.09177992,12.7138262,99.07172,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.683019,3.683019,1,,Action,0,Accelerate,0.7065586,,0.7792371,2.49723721,0.09800745,4.327239,142.169678,0,0,0,-0.462759227,0.454480052,0.09177992,12.7138262,99.07172,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.683019,3.683019,1,,Action,0,Dash,0.2,,0.7792371,2.49723721,0.09800745,4.327239,142.169678,1,0,0,-0.462759227,0.454480052,0.09177992,12.7138262,99.07172,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.783725,3.783725,0,,Action,1,TurnRight,0.15,,-0.857755661,0.39141193,4,9.33073,79.07172,0,0,0,0.349909544,1.94435644,7,3.17577863,162.169739,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.783725,3.783725,1,,Action,1,TurnRight,0.100202858,,0.349909544,1.94435644,7,3.17577863,162.169739,1,0,0,-0.857755661,0.39141193,4,9.33073,79.07172,0,0,0,,,,,,,,,,,,,,,,,,,,
